timestamp,memory_used_mb,memory_total_mb,gpu_utilization_percent,temperature_c,power_w
2026/09/14 17:57:32.508,605.0,6141.0,2.0,48.0,18.24
2026/09/14 17:57:37.777,642.0,6141.0,0.0,49.0,18.38
2026/09/14 17:57:43.101,696.0,6141.0,7.0,49.0,18.58
2026/09/14 17:57:49.866,710.0,6141.0,5.0,49.0,18.32
2026/09/14 17:57:56.216,714.0,6141.0,6.0,49.0,20.94
2026/09/14 17:58:01.691,694.0,6141.0,5.0,49.0,18.42
2026/09/14 17:58:06.942,694.0,6141.0,6.0,49.0,18.41
2026/09/14 17:58:12.267,695.0,6141.0,6.0,48.0,18.37
2026/09/14 17:58:17.515,694.0,6141.0,5.0,48.0,18.45
2026/09/14 17:58:22.776,695.0,6141.0,5.0,48.0,18.49
2026/09/14 17:58:27.878,726.0,6141.0,5.0,48.0,18.34
2026/09/14 17:58:33.016,719.0,6141.0,0.0,47.0,18.35
2026/09/14 17:58:38.135,697.0,6141.0,0.0,47.0,18.14
2026/09/14 17:58:43.402,697.0,6141.0,0.0,47.0,18.14
2026/09/14 17:58:49.712,697.0,6141.0,0.0,47.0,18.15
2026/09/14 17:59:10.147,761.0,6141.0,0.0,48.0,18.09
2026/09/14 17:59:15.295,1057.0,6141.0,2.0,48.0,19.0
2026/09/14 17:59:20.551,1084.0,6141.0,27.0,49.0,35.24
2026/09/14 17:59:26.706,1121.0,6141.0,35.0,50.0,29.33
2026/09/14 17:59:31.929,1131.0,6141.0,48.0,52.0,36.02
2026/09/14 17:59:36.991,1132.0,6141.0,44.0,52.0,36.08
2026/09/14 17:59:42.051,1129.0,6141.0,40.0,52.0,35.88
2026/09/14 17:59:47.162,1172.0,6141.0,25.0,50.0,25.36
2026/09/14 17:59:52.221,1145.0,6141.0,30.0,49.0,27.33
2026/09/14 17:59:57.284,1141.0,6141.0,25.0,48.0,25.74
2026/09/14 18:00:02.384,1187.0,6141.0,26.0,48.0,23.87
2026/09/14 18:00:07.515,1133.0,6141.0,28.0,49.0,20.77
2026/09/14 18:00:12.583,1128.0,6141.0,28.0,48.0,25.15
2026/09/14 18:00:17.654,1147.0,6141.0,24.0,49.0,25.73
2026/09/14 18:00:22.726,1148.0,6141.0,29.0,49.0,25.11
2026/09/14 18:00:27.817,1148.0,6141.0,27.0,49.0,25.94
2026/09/14 18:00:32.898,1184.0,6141.0,26.0,50.0,26.4
2026/09/14 18:00:37.995,1166.0,6141.0,23.0,49.0,26.19
2026/09/14 18:00:43.054,1166.0,6141.0,24.0,50.0,27.0
2026/09/14 18:00:48.125,1147.0,6141.0,22.0,49.0,26.52
2026/09/14 18:00:53.196,1147.0,6141.0,16.0,49.0,24.37
2026/09/14 18:00:58.257,1147.0,6141.0,21.0,50.0,26.03
2026/09/14 18:01:03.328,1147.0,6141.0,21.0,49.0,23.61
2026/09/14 18:01:08.389,1189.0,6141.0,47.0,52.0,38.24
2026/09/14 18:01:13.462,1160.0,6141.0,0.0,49.0,18.48
2026/09/14 18:01:18.546,1254.0,6141.0,47.0,52.0,36.67
2026/09/14 18:01:23.632,1255.0,6141.0,45.0,54.0,36.7
2026/09/14 18:01:28.692,1277.0,6141.0,21.0,51.0,29.38
2026/09/14 18:01:33.775,1299.0,6141.0,32.0,50.0,28.51
2026/09/14 18:01:38.841,1277.0,6141.0,23.0,50.0,28.88
2026/09/14 18:01:43.943,1273.0,6141.0,24.0,49.0,28.02
2026/09/14 18:01:49.006,1254.0,6141.0,26.0,49.0,26.51
2026/09/14 18:01:54.077,1292.0,6141.0,27.0,49.0,24.97
2026/09/14 18:01:59.144,1274.0,6141.0,21.0,49.0,25.16
2026/09/14 18:02:04.208,1238.0,6141.0,26.0,49.0,25.94
2026/09/14 18:02:09.264,1239.0,6141.0,30.0,49.0,25.78
2026/09/14 18:02:14.338,1238.0,6141.0,22.0,49.0,24.56
2026/09/14 18:02:19.406,1289.0,6141.0,29.0,49.0,27.19
2026/09/14 18:02:24.471,1266.0,6141.0,28.0,50.0,26.28
2026/09/14 18:02:29.534,1241.0,6141.0,23.0,49.0,26.14
2026/09/14 18:02:34.599,1301.0,6141.0,27.0,49.0,25.24
2026/09/14 18:02:39.674,1517.0,6141.0,27.0,50.0,24.99
2026/09/14 18:02:44.737,1401.0,6141.0,30.0,50.0,26.34
2026/09/14 18:02:49.808,1433.0,6141.0,27.0,51.0,26.63
2026/09/14 18:02:54.864,1522.0,6141.0,32.0,50.0,31.85
2026/09/14 18:02:59.932,1442.0,6141.0,28.0,50.0,26.49
2026/09/14 18:03:04.997,1471.0,6141.0,30.0,50.0,27.29
2026/09/14 18:03:10.066,1265.0,6141.0,48.0,52.0,35.22
2026/09/14 18:03:15.124,1372.0,6141.0,39.0,52.0,36.07
2026/09/14 18:03:20.187,1295.0,6141.0,27.0,50.0,25.47
2026/09/14 18:03:25.265,1254.0,6141.0,22.0,51.0,25.74
2026/09/14 18:03:30.334,1262.0,6141.0,26.0,50.0,25.31
2026/09/14 18:03:35.395,1258.0,6141.0,31.0,50.0,27.18
2026/09/14 18:03:40.461,1263.0,6141.0,20.0,51.0,25.63
2026/09/14 18:03:45.519,1250.0,6141.0,22.0,50.0,25.67
2026/09/14 18:03:50.586,1250.0,6141.0,25.0,50.0,26.02
2026/09/14 18:03:55.656,1250.0,6141.0,23.0,50.0,25.66
2026/09/14 18:04:00.721,1267.0,6141.0,20.0,50.0,25.34
2026/09/14 18:04:05.790,1277.0,6141.0,20.0,51.0,24.49
2026/09/14 18:04:10.860,1248.0,6141.0,17.0,50.0,25.8
2026/09/14 18:04:15.925,1248.0,6141.0,22.0,50.0,28.17
2026/09/14 18:04:20.984,1248.0,6141.0,24.0,50.0,26.91
2026/09/14 18:04:26.078,1249.0,6141.0,21.0,50.0,25.12
2026/09/14 18:04:31.140,1240.0,6141.0,16.0,50.0,24.94
2026/09/14 18:04:36.197,1240.0,6141.0,14.0,50.0,24.02
2026/09/14 18:04:41.276,1240.0,6141.0,16.0,50.0,24.83
2026/09/14 18:04:46.342,1240.0,6141.0,18.0,50.0,25.37
2026/09/14 18:04:51.402,1240.0,6141.0,15.0,50.0,21.16
2026/09/14 18:04:56.470,1240.0,6141.0,20.0,50.0,25.24
2026/09/14 18:05:01.539,1240.0,6141.0,20.0,51.0,24.48
2026/09/14 18:05:06.598,1284.0,6141.0,22.0,50.0,21.16
2026/09/14 18:05:11.652,1268.0,6141.0,27.0,51.0,24.84
2026/09/14 18:05:16.710,1283.0,6141.0,21.0,50.0,26.21
2026/09/14 18:05:21.782,1250.0,6141.0,22.0,50.0,25.37
2026/09/14 18:05:26.847,1255.0,6141.0,17.0,50.0,28.53
2026/09/14 18:05:31.912,1241.0,6141.0,22.0,50.0,26.11
2026/09/14 18:05:36.972,1241.0,6141.0,22.0,50.0,23.84
2026/09/14 18:05:42.044,1238.0,6141.0,16.0,51.0,23.51
2026/09/14 18:05:47.106,1238.0,6141.0,18.0,50.0,24.82
2026/09/14 18:05:52.175,1238.0,6141.0,21.0,50.0,29.63
2026/09/14 18:05:57.241,1237.0,6141.0,16.0,50.0,25.14
2026/09/14 18:06:02.312,1240.0,6141.0,20.0,50.0,25.2
2026/09/14 18:06:07.368,1240.0,6141.0,18.0,50.0,25.2
2026/09/14 18:06:12.434,1241.0,6141.0,25.0,50.0,26.66
2026/09/14 18:06:17.512,1240.0,6141.0,14.0,50.0,24.84
2026/09/14 18:06:22.569,1245.0,6141.0,19.0,50.0,25.03
2026/09/14 18:06:27.645,1245.0,6141.0,14.0,50.0,23.24
2026/09/14 18:06:32.708,1238.0,6141.0,22.0,50.0,26.02
2026/09/14 18:06:37.786,1238.0,6141.0,21.0,50.0,24.97
2026/09/14 18:06:42.865,1238.0,6141.0,20.0,50.0,29.6
2026/09/14 18:06:47.933,1238.0,6141.0,13.0,50.0,22.21
